2016-06-14 12:58 WARNING : Unable to load config file (config.py:94)
2016-06-14 12:58 INFO    : psyco acceleration not enabled (02_qtlab_start.py:55)
2016-06-14 12:58 ERROR   : Instrument type example not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type dummy_signal_generator not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type dummy_positioner not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type virtual_composite not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type Agilent_ENA_5071C not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type AWG5014C not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type Aglient_MXA_N9020A not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type SignalCore_sc5511a not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type Keysight_N5183B not supported (instruments.py:275)
2016-06-14 12:58 ERROR   : Instrument type RecordTest_driver not supported (instruments.py:275)
